package_name,used_version,serverity,downloadCount
moment.js:moment,2.14.1,high,15640
moment.js:moment,2.14.1,high,15640
axios:No_npm_name,0.19.2,high,15580
axios:No_npm_name,0.21.1,high,15432
axios:No_npm_name,0.19.2,high,15392
moment.js:moment,2.24.0,high,15267
moment.js:moment,2.24.0,high,15267
moment.js:moment,2.18.1,high,15143
moment.js:moment,2.18.1,high,15143
moment.js:moment,2.18.1,high,15143
axios:No_npm_name,0.18.0,high,15029
axios:No_npm_name,0.18.0,high,15029
moment.js:moment,2.24.0,high,15005
moment.js:moment,2.24.0,high,15005
axios:No_npm_name,0.21.1,high,14940
underscore.js:underscore,1.7.0,high,14730
jszip:No_npm_name,3.7.1,high,14715
underscore.js:underscore,1.8.3,high,14523
chart.js:No_npm_name,2.8.0,high,14469
moment.js:moment,2.24.0,high,14469
moment.js:moment,2.24.0,high,14469
handlebars:No_npm_name,4.0.5,high,14444
handlebars:No_npm_name,4.0.5,high,14444
handlebars:No_npm_name,4.0.5,high,14444
handlebars:No_npm_name,4.0.5,high,14444
handlebars:No_npm_name,4.0.5,high,14444
jszip:No_npm_name,3.7.1,high,14408
jszip:No_npm_name,3.7.1,high,14286
axios:No_npm_name,0.19.0,high,14253
moment.js:moment,2.18.1,high,14204
moment.js:moment,2.18.1,high,14204
moment.js:moment,2.18.1,high,14204
underscore.js:underscore,1.8.3,high,14194
moment.js:moment,2.29.3,high,13951
axios:No_npm_name,0.21.2,high,13912
moment.js:moment,2.29.1,high,13824
moment.js:moment,2.29.1,high,13824
underscore.js:underscore,1.8.3,high,13744
underscore.js:underscore,1.8.3,high,13680
underscore.js:underscore,1.8.3,high,13635
axios:No_npm_name,0.18.0,high,13527
axios:No_npm_name,0.18.0,high,13527
handlebars:No_npm_name,4.0.12,high,13509
handlebars:No_npm_name,4.0.12,high,13509
handlebars:No_npm_name,4.0.12,high,13509
handlebars:No_npm_name,4.0.12,high,13509
handlebars:No_npm_name,4.0.12,high,13509
handlebars:No_npm_name,4.5.2,high,13477
handlebars:No_npm_name,4.5.2,high,13477
handlebars:No_npm_name,4.5.2,high,13477
moment.js:moment,2.21.0,high,13468
moment.js:moment,2.21.0,high,13468
axios:No_npm_name,0.18.0,high,13448
axios:No_npm_name,0.18.0,high,13448
axios:No_npm_name,0.16.1,high,13287
axios:No_npm_name,0.16.1,high,13287
axios:No_npm_name,0.19.2,high,13167
moment.js:moment,2.20.1,high,13113
moment.js:moment,2.20.1,high,13113
moment.js:moment,2.24.0,high,13054
moment.js:moment,2.24.0,high,13054
underscore.js:underscore,1.8.3,high,13001
underscore.js:underscore,1.7.0,high,12919
underscore.js:underscore,1.6.0,high,12884
axios:No_npm_name,0.17.1,high,12854
axios:No_npm_name,0.17.1,high,12854
axios:No_npm_name,0.18.1,high,12698
moment.js:moment,2.24.0,high,12627
moment.js:moment,2.24.0,high,12627
handlebars:No_npm_name,4.7.2,high,12358
handlebars:No_npm_name,4.7.2,high,12358
underscore.js:underscore,1.9.1,high,12337
underscore.js:underscore,1.8.3,high,12256
moment.js:moment,2.24.0,high,12172
moment.js:moment,2.24.0,high,12172
underscore.js:underscore,1.7.0,high,12122
underscore.js:underscore,1.8.3,high,12029
axios:No_npm_name,0.21.1,high,12010
axios:No_npm_name,0.21.1,high,11786
underscore.js:underscore,1.4.4,high,11783
axios:No_npm_name,0.21.1,high,11775
axios:No_npm_name,0.21.1,high,11704
axios:No_npm_name,0.19.2,high,11291
handlebars:No_npm_name,4.1.2,high,11279
handlebars:No_npm_name,4.1.2,high,11279
handlebars:No_npm_name,4.1.2,high,11279
handlebars:No_npm_name,4.1.2,high,11279
handlebars:No_npm_name,4.1.2,high,11279
underscore.js:underscore,1.9.1,high,11262
underscore.js:underscore,1.9.1,high,11150
moment.js:moment,2.29.1,high,11137
moment.js:moment,2.29.1,high,11137
handlebars:No_npm_name,4.3.0,high,11112
handlebars:No_npm_name,4.3.0,high,11112
handlebars:No_npm_name,4.3.0,high,11112
handlebars:No_npm_name,4.3.0,high,11112
underscore.js:underscore,1.8.3,high,11094
underscore.js:underscore,1.6.0,high,10913
underscore.js:underscore,1.8.3,high,10841
underscore.js:underscore,1.7.0,high,10767
handlebars:No_npm_name,4.0.11,high,10748
handlebars:No_npm_name,4.0.11,high,10748
handlebars:No_npm_name,4.0.11,high,10748
handlebars:No_npm_name,4.0.11,high,10748
handlebars:No_npm_name,4.0.11,high,10748
axios:No_npm_name,0.19.2,high,10747
underscore.js:underscore,1.9.1,high,10747
underscore.js:underscore,1.8.3,high,10721
underscore.js:underscore,1.8.3,high,10699
axios:No_npm_name,0.18.1,high,10639
moment.js:moment,2.16.0,high,10524
moment.js:moment,2.16.0,high,10524
moment.js:moment,2.22.2,high,10459
moment.js:moment,2.22.2,high,10459
underscore.js:underscore,1.8.3,high,10451
handlebars:No_npm_name,4.0.11,high,10365
handlebars:No_npm_name,4.0.11,high,10365
handlebars:No_npm_name,4.0.11,high,10365
handlebars:No_npm_name,4.0.11,high,10365
handlebars:No_npm_name,4.0.11,high,10365
axios:No_npm_name,0.21.1,high,10340
handlebars:No_npm_name,4.7.6,high,10234
handlebars:No_npm_name,4.7.6,high,10234
axios:No_npm_name,0.20.0,high,10223
froala:froala-editor,3.1.0,high,10218
underscore.js:underscore,1.9.1,high,10218
jszip:No_npm_name,3.7.1,high,10210
underscore.js:underscore,1.9.1,high,10065
underscore.js:underscore,1.4.4,high,10049
moment.js:moment,2.29.3,high,9866
axios:No_npm_name,0.18.0,high,9822
axios:No_npm_name,0.18.0,high,9822
moment.js:moment,2.20.1,high,9740
moment.js:moment,2.20.1,high,9740
axios:No_npm_name,0.18.0,high,9672
axios:No_npm_name,0.18.0,high,9672
underscore.js:underscore,1.8.3,high,9621
underscore.js:underscore,1.8.3,high,9614
handlebars:No_npm_name,4.7.6,high,9597
handlebars:No_npm_name,4.7.6,high,9597
underscore.js:underscore,1.9.1,high,9553
moment.js:moment,2.29.1,high,9504
moment.js:moment,2.29.1,high,9504
axios:No_npm_name,0.21.2,high,9461
axios:No_npm_name,0.19.2,high,9400
moment.js:moment,2.24.0,high,9364
moment.js:moment,2.24.0,high,9364
underscore.js:underscore,1.8.3,high,9352
chart.js:No_npm_name,2.7.2,high,9286
moment.js:moment,2.29.1,high,9257
moment.js:moment,2.29.1,high,9257
axios:No_npm_name,0.19.2,high,9198
underscore.js:underscore,1.8.3,high,9185
underscore.js:underscore,1.8.3,high,8878
axios:No_npm_name,0.19.2,high,8821
moment.js:moment,2.29.1,high,8763
moment.js:moment,2.29.1,high,8763
underscore.js:underscore,1.8.3,high,8742
moment.js:moment,2.29.1,high,8600
moment.js:moment,2.29.1,high,8600
handlebars:No_npm_name,4.5.3,high,8488
handlebars:No_npm_name,4.5.3,high,8488
moment.js:moment,2.24.0,high,8392
moment.js:moment,2.24.0,high,8392
underscore.js:underscore,1.7.0,high,8333
underscore.js:underscore,1.8.3,high,8317
moment.js:moment,2.24.0,high,8069
moment.js:moment,2.24.0,high,8069
underscore.js:underscore,1.8.3,high,8035
moment.js:moment,2.27.0,high,8023
moment.js:moment,2.27.0,high,8023
moment.js:moment,2.23.0,high,8003
moment.js:moment,2.23.0,high,8003
axios:No_npm_name,0.21.2,high,7934
axios:No_npm_name,0.16.2,high,7896
axios:No_npm_name,0.16.2,high,7896
handlebars:No_npm_name,4.0.11,high,7883
handlebars:No_npm_name,4.0.11,high,7883
handlebars:No_npm_name,4.0.11,high,7883
handlebars:No_npm_name,4.0.11,high,7883
handlebars:No_npm_name,4.0.11,high,7883
axios:No_npm_name,0.21.1,high,7816
moment.js:moment,2.15.0,high,7790
moment.js:moment,2.15.0,high,7790
underscore.js:underscore,1.6.0,high,7747
underscore.js:underscore,1.9.1,high,7713
underscore.js:underscore,1.8.3,high,7657
handlebars:No_npm_name,4.0.12,high,7542
handlebars:No_npm_name,4.0.12,high,7542
handlebars:No_npm_name,4.0.12,high,7542
handlebars:No_npm_name,4.0.12,high,7542
handlebars:No_npm_name,4.0.12,high,7542
moment.js:moment,2.29.1,high,7524
moment.js:moment,2.29.1,high,7524
moment.js:moment,2.29.1,high,7478
moment.js:moment,2.29.1,high,7478
moment.js:moment,2.24.0,high,7445
moment.js:moment,2.24.0,high,7445
moment.js:moment,2.20.1,high,7432
moment.js:moment,2.20.1,high,7432
underscore.js:underscore,1.7.0,high,7429
moment.js:moment,2.29.1,high,7338
moment.js:moment,2.29.1,high,7338
underscore.js:underscore,1.7.0,high,7274
moment.js:moment,2.21.0,high,7271
